PEILDATUM_LEERLINGEN;PRIKDATUM_SCORES;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEERJAAR_8;ONTHEFFING_REDEN_ND;CET_AANTAL;CET_GEM;IEP_AANTAL;IEP_GEM;ROUTE8_AANTAL;ROUTE8_GEM;DREMPEL_AANTAL;DREMPEL_GEM;aantal;@2toets;N_DLN_2015;N_AFN_2015;TOETS_2015;SCORE_2015;TOETS_2_2015;SCORE_2_2015;Weeg_t_1;Weeg_t_2;TOETS_2014;N_AFN_2014;N_DLN_2014;N_DLN_2014_rw;SCORE_2014;SCORE_2014_rw;TOETS_2013;N_AFN_2013;N_DLN_2013;N_DLN_2013_rw;SCORE_2013;SCORE_2013_rw;middenopleiding;hogeopleiding;inkomen;leefbaar;gew03;gew12;noat;uitslagtoets2014;uitslagtoets2014taal;uitslagtoets2014reken;uitslagtoets2014tot;uitslagtoets2013;uitslagtoets2013taal;uitslagtoets2013reken;uitslagtoets2013tot;uitslagtoets2015;auitslagtoets2015;buitslagtoets2015;tellerdeelname;noemerdeelname;deelnaamper;meantoets;waretoets;PRE_1;RES_1;cijfer;check;warecijfer;quasicito;verwachtecito
20141001;20150918;03EH;01;OBS 'T Noorder Merk;8079TN;NOORDEINDE GLD;269;Oldebroek;Gelderland;Bo;Openbaar;41345;2;0;2;.;0;.;0;.;0;.;0;Nee;2;2;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;34,000000000000000;8,0000000000000000;39200,000000000000;22,5751120000000000;0,0000000000000000;0,0000000000000000;0,0000000000000000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;2,000;2,000;100,000;#LEEG!;#LEEG!;0,49169;#LEEG!;#LEEG!;;;#LEEG!;536,0117996
20141001;20150918;06HM;01;Het Timpaan;7031HV;WEHL;222;Doetinchem;Gelderland;Bo;Rooms-Katholiek;31969;17;0;17;532.7;0;.;0;.;0;.;1;Nee;17;17;Cito;532,7;;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;39,027777777777800;11,0833333333333000;35682,051282051300;24,7430846153846000;3,8461538461538500;0,0000000000000000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;-0,325;#LEEG!;#LEEG!;17,000;17,000;100,000;-0,325;-0,325;#LEEG!;#LEEG!;#LEEG!;;;532,7;#LEEG!
20141001;20150918;07DI;01;Jenaplansch De Waterval;2361GA;WARMOND;1525;Teylingen;Zuid-Holland;Bo;Algemeen bijzonder;82747;8;0;1;.;0;.;0;.;0;.;0;Nee;1;1;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;34,923076923076900;22,7820512820513000;43493,589743589700;21,4629697435897000;0,0000000000000000;0,0000000000000000;0,0000000000000000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;1,000;1,000;100,000;#LEEG!;#LEEG!;0,79816;#LEEG!;#LEEG!;;;#LEEG!;537,2539268
20141001;20150918;09FN;01;OBS De Schuthoek;9474PB;ZUIDLAARDERVEEN;1730;Tynaarlo;Drenthe;Bo;Openbaar;41851;1;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;42200,000000000000;10,2919700000000000;0,0000000000000000;0,0000000000000000;0,0000000000000000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;12TT;01;Barnewiel;1724SV;OUDKARSPEL;416;Langedijk;Noord-Holland;Bo;Openbaar;41364;15;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;37,981308411215000;15,7196261682243000;37172,897196261700;15,7807140186916000;3,7383177570093500;4,6728971962616800;0,9708737864077670;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;15DI;01;Heilig Hart Basisschool;6251NE;ECKELRADE;1903;Eijsden-Margraten;Limburg;Bo;Rooms-Katholiek;42669;7;0;7;533;0;.;0;.;0;.;1;Nee;7;7;Cito;533,0;;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;36,000000000000000;15,0000000000000000;41972,727272727300;24,5786788235294000;0,0000000000000000;0,0000000000000000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;-0,251;#LEEG!;#LEEG!;7,000;7,000;100,000;-0,251;-0,251;#LEEG!;#LEEG!;#LEEG!;;;533;#LEEG!
20141001;20150918;15YF;01;RK BS De Regenboog;1829EA;OUDORP NH;361;Alkmaar;Noord-Holland;Bo;Rooms-Katholiek;60997;36;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;35,165605095541400;21,3343949044586000;35305,015673981200;12,9582933125000000;5,0000000000000000;0,0000000000000000;5,3797468354430400;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;16XY;03;Obs Nicolaas Beets;1816JZ;ALKMAAR;361;Alkmaar;Noord-Holland;Bo;Openbaar;42514;7;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;35,920634920634900;21,1269841269841000;29398,412698412700;-7,0668339682539700;4,7619047619047600;28,5714285714286000;61,9047619047619000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;16ZY;01;Montessorischool Hoorn;1621CR;HOORN NH;405;Hoorn;Noord-Holland;Bo;Openbaar;41772;41;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;34,223021582733800;20,9928057553957000;33268,327402135200;10,8664837010676000;4,9469964664311000;1,0600706713780900;9,6899224806201500;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;24EJ;02;Al Hambra;3526AB;UTRECHT;344;Utrecht;Utrecht;Bo;Islamitisch;40077;16;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;27,983050847457600;21,9096045197740000;28432,584269662900;-30,7347470224719000;14,6067415730337000;53,9325842696629000;90,5660377358491000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;30XD;00;De Verwondering;1141CM;MONNICKENDAM;852;Waterland;Noord-Holland;Bo;Algemeen bijzonder;42676;8;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;34,616438356164400;22,6164383561644000;39297,260273972600;25,2202711392405000;2,5316455696202500;0,0000000000000000;1,9417475728155300;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;30XH;00;O4;1062AA;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Algemeen bijzonder;42684;1;0;1;.;0;.;0;.;0;.;0;Nee;1;1;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;28,039215686274500;21,9607843137255000;29811,764705882400;-32,1560533333333000;3,9215686274509800;3,9215686274509800;17,1717171717172000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;1,000;1,000;100,000;#LEEG!;#LEEG!;0,20014;#LEEG!;#LEEG!;;;#LEEG!;534,8301745
20141001;20150918;30XM;00;Kronenburgh;2283TB;RIJSWIJK ZH;603;Rijswijk;Zuid-Holland;Bo;Algemeen bijzonder;42679;4;0;4;.;0;.;0;.;0;.;0;Nee;4;4;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;32,409090909090900;25,2500000000000000;37420,454545454500;5,9435561363636400;0,0000000000000000;2,2727272727272700;5,0420168067226900;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;4,000;4,000;100,000;#LEEG!;#LEEG!;0,68081;#LEEG!;#LEEG!;;;#LEEG!;536,7783308
20141001;20150918;18QW;00;Parkschool V Opb BSO;7741CV;COEVORDEN;109;Coevorden;Drenthe;Bo;Openbaar;41630;33;0;1;.;0;.;0;.;0;.;0;Nee;1;1;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;0;0,0;#LEEG!;;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;36,524844720496900;7,9503105590062100;29380,307692307700;5,3215909726443800;2,9325513196480900;0,8797653958944280;0,5714285714285710;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;1,000;1,000;100,000;#LEEG!;#LEEG!;0,13553;#LEEG!;#LEEG!;;;#LEEG!;534,568319
20141001;20150918;23EK;00;RK Bo Phoenix;8017PA;ZWOLLE;193;Zwolle;Overijssel;Bo;Rooms-Katholiek;40888;23;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;32,913669064748200;27,0431654676259000;39400,000000000000;27,3945860431655000;1,4388489208633100;2,8776978417266200;0,0000000000000000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;30PN;00;Tabitha;7312CD;APELDOORN;200;Apeldoorn;Gelderland;Bo;Evangelisch;41661;2;0;2;.;0;.;0;.;0;.;0;Nee;2;2;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;33,615384615384600;23,1538461538462000;36146,153846153800;19,4575415384615000;0,0000000000000000;7,6923076923076900;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;2,000;2,000;100,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;30UP;00;De Amstel;1096AC;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Openbaar;41774;2;0;2;.;0;.;0;.;0;.;0;Nee;2;2;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;32,276923076923100;35,3230769230769000;33207,692307692300;-7,4180018461538400;0,0000000000000000;0,0000000000000000;16,3636363636364000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;2,000;2,000;100,000;#LEEG!;#LEEG!;0,76163;#LEEG!;#LEEG!;;;#LEEG!;537,1058862
20141001;20150918;30FT;01;Talitha;3551BR;UTRECHT;344;Utrecht;Utrecht;Bo;Evangelisch;42702;4;0;4;.;0;.;0;.;0;.;0;Nee;4;4;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;cito;5;5;0;521,2;#LEEG!;;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;25,321428571428600;23,7142857142857000;30278,571428571400;-14,1383485714286000;0,0000000000000000;0,0000000000000000;#LEEG!;-2,872;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;4,500;4,500;100,000;-2,872;-2,872;#LEEG!;#LEEG!;#LEEG!;;;522,3769594;#LEEG!
20141001;20150918;30PF;00;Samenwerkingsschool Meeroevers;9613AE;MEERSTAD;40;Slochteren;Groningen;Bo;Openbaar;41779;2;0;2;.;0;.;0;.;0;.;0;Nee;2;2;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;cito;2;1;0;#LEEG!;#LEEG!;;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;30,806451612903200;21,9354838709677000;35072,222222222200;16,3646125000000000;0,0000000000000000;0,0000000000000000;0,0000000000000000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;1,500;2,000;75,000;#LEEG!;#LEEG!;0,77198;#LEEG!;#LEEG!;;;#LEEG!;537,1478232
20141001;20150918;12CQ;00;Oude Niedorp;1734JH;OUDE NIEDORP;1911;Hollands Kroon;Noord-Holland;Bo;Openbaar;41438;11;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;lvs;10;9;9;52,1;106,2;;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;38,411764705882400;16,0588235294118000;41496,428571428600;23,5217092857143000;21,4285714285714000;0,0000000000000000;#LEEG!;-0,814;-0,674;-0,675;-0,674;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;4,500;5,000;90,000;-0,814;-1,094;#LEEG!;#LEEG!;#LEEG!;;;530,7217949;#LEEG!
20141001;20150918;03EJ;00;De Smeltkroes;7852TJ;WEZUP;109;Coevorden;Drenthe;Bo;Openbaar;41630;5;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;andere;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;39,155844155844200;11,7792207792208000;32771,428571428600;11,4751790909091000;7,7922077922077900;66,2337662337662000;98,1481481481482000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;03SO;00;RK Basisschool Het Spick;5954BC;BEESEL;889;Beesel;Limburg;Bo;Rooms-Katholiek;75597;30;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;andere;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;35,865979381443300;17,7422680412371000;38124,742268041200;26,5841941237113000;1,5463917525773200;0,0000000000000000;0,5376344086021510;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;07KE;00;De Peppels PC Jenaplanbasissch;5831CP;BOXMEER;756;Boxmeer;Noord-Brabant;Bo;Protestants-Christelijk;30235;44;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;andere;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;36,201183431952700;16,7721893491124000;34994,812680115300;16,8002786167147000;1,7291066282420700;2,8818443804034600;9,0140845070422500;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;12XG;00;Basisschool Meander;5953JN;REUVER;889;Beesel;Limburg;Bo;Rooms-Katholiek;75597;48;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;andere;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;35,991735537190100;10,0413223140496000;32511,294765840200;11,5173785950413000;3,8567493112947700;3,3057851239669400;4,3859649122807000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;14BV;00;De Noord;2985XB;RIDDERKERK;597;Ridderkerk;Zuid-Holland;Bo;Openbaar;41642;34;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;andere;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;34,986238532110100;12,2981651376147000;34738,990825688100;20,1556143119266000;11,0091743119266000;7,3394495412844000;16,4383561643836000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;14HR;00;Piramide;2981AJ;RIDDERKERK;597;Ridderkerk;Zuid-Holland;Bo;Openbaar;41642;40;1;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;andere;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;34,766153846153800;11,3138461538462000;35933,333333333300;11,7045435735736000;9,3093093093093100;9,9099099099099100;16,4596273291925000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;14MU;00;De Reijer;2983CL;RIDDERKERK;597;Ridderkerk;Zuid-Holland;Bo;Openbaar;41642;31;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;andere;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;37,727868852459000;13,7180327868852000;35427,540983606600;17,3918435737705000;12,1311475409836000;3,2786885245901600;17,3374613003096000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;0,000;0,000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;;;#LEEG!;#LEEG!
20141001;20150918;29YF;00;Brede School Het Dok;2342BT;OEGSTGEEST;579;Oegstgeest;Zuid-Holland;Bo;Algemeen bijzonder;41807;2;0;2;.;0;.;0;.;0;.;0;Nee;2;2;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;andere;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;31,403361344537800;36,5462184873950000;42697,478991596600;23,7497527731092000;0,0000000000000000;0,8403361344537820;0,0000000000000000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;2,000;2,000;100,000;#LEEG!;#LEEG!;1,14556;#LEEG!;#LEEG!;;;#LEEG!;538,6619384
20141001;20150918;30PM;00;Zeeburgereiland;1095MD;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Openbaar;41774;1;0;1;.;0;.;0;.;0;.;0;Nee;1;1;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;andere;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;24,742424242424200;28,2878787878788000;36188,888888888900;-13,2597916666667000;0,0000000000000000;1,3888888888888900;9,0000000000000000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;1,000;1,000;100,000;#LEEG!;#LEEG!;0,78472;#LEEG!;#LEEG!;;;#LEEG!;537,1994499
20141001;20150918;13FA;00;RK Basissch de Oostpoort;2611SN;DELFT;503;Delft;Zuid-Holland;Bo;Rooms-Katholiek;40928;39;0;0;.;0;.;0;.;0;.;0;Nee;0;0;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;lvs;42;42;41;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;32,534979423868300;35,3909465020576000;32645,490196078400;5,9543680784313700;1,1764705882352900;1,1764705882352900;2,9166666666666700;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;21,000;21,000;100,000;#LEEG!;#LEEG!;0,84403;#LEEG!;#LEEG!;;;#LEEG!;537,4398708
20141001;20150918;30BD;00;De kleine kapitein;2652HS;BERKEL EN RODENRIJS;1621;Lansingerland;Zuid-Holland;Bo;Algemeen bijzonder;41873;14;0;14;527.2;0;.;0;.;0;.;1;Nee;14;14;Cito;527,2;;#LEEG!;#LEEG!;#LEEG!;0;#LEEG!;#LEEG!;0;0,0;#LEEG!;cito;8;7;0;530,2;#LEEG!;30,438095238095200;23,4476190476190000;42983,962264150900;18,5944366037736000;0,0000000000000000;0,0000000000000000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;-0,812;#LEEG!;#LEEG!;#LEEG!;-1,682;#LEEG!;#LEEG!;10,500;11,000;95,455;-1,247;-1,374;#LEEG!;#LEEG!;#LEEG!;;;528,9641704;#LEEG!
20141001;20150918;05NM;00;CHR Basissch De Sprankel;4271BL;DUSSEN;870;Werkendam;Noord-Brabant;Bo;Protestants-Christelijk;41239;4;0;4;.;0;.;0;.;0;.;0;Nee;4;4;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;cito;2;2;0;#LEEG!;#LEEG!;34,000000000000000;13,0000000000000000;38700,000000000000;16,1777900000000000;2,1739130434782600;0,0000000000000000;0,0000000000000000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;3,000;3,000;100,000;#LEEG!;#LEEG!;0,48582;#LEEG!;#LEEG!;;;#LEEG!;535,9880469
20141001;20150918;13LX;00;Obs de Butte;9631TE;BORGERCOMPAGNIE;47;Veendam;Groningen;Bo;Openbaar;41780;4;0;4;.;0;.;0;.;0;.;0;Nee;4;4;Cito;#LEEG!;;#LEEG!;#LEEG!;#LEEG!;andere;#LEEG!;#LEEG!;0;0,0;#LEEG!;cito;2;4;0;#LEEG!;#LEEG!;38,000000000000000;10,0000000000000000;34443,478260869600;18,3221526086957000;7,6923076923076900;0,0000000000000000;0,0000000000000000;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;#LEEG!;4,000;3,000;100,000;#LEEG!;#LEEG!;0,15438;#LEEG!;#LEEG!;;;#LEEG!;534,6447042
